title,console,genre,publisher,developer,critic_score,total_sales(mil),na_sales(mil),jp_sales(mil),pal_sales(mil),other_sales(mil),release_date,release_year,release_month,sales_sum
Grand Theft Auto V,PS3,Action,Rockstar Games,Rockstar North,9.4,20.32,6.37,0.99,9.85,3.12,2013-09-17,2013.0,9.0,20.330000000000002
Grand Theft Auto V,PS4,Action,Rockstar Games,Rockstar North,9.7,19.39,6.06,0.6,9.71,3.02,2014-11-18,2014.0,11.0,19.39
Grand Theft Auto: Vice City,PS2,Action,Rockstar Games,Rockstar North,9.6,16.15,8.41,0.47,5.49,1.78,2002-10-28,2002.0,10.0,16.150000000000002
Grand Theft Auto V,X360,Action,Rockstar Games,Rockstar North,6.8,15.86,9.06,0.06,5.33,1.42,2013-09-17,2013.0,9.0,15.870000000000001
Call of Duty: Black Ops 3,PS4,Shooter,Activision,Treyarch,8.1,15.09,6.18,0.41,6.05,2.44,2015-11-06,2015.0,11.0,15.08
Call of Duty: Modern Warfare 3,X360,Shooter,Activision,Infinity Ward,8.7,14.82,9.07,0.13,4.29,1.33,2011-11-08,2011.0,11.0,14.820000000000002
Call of Duty: Black Ops,X360,Shooter,Activision,Treyarch,8.8,14.74,9.76,0.11,3.73,1.14,2010-11-09,2010.0,11.0,14.74
Red Dead Redemption 2,PS4,Action-Adventure,Rockstar Games,Rockstar Games,9.8,13.94,5.26,0.21,6.21,2.26,2018-10-26,2018.0,10.0,13.94
Call of Duty: Black Ops II,X360,Shooter,Activision,Treyarch,8.4,13.86,8.27,0.07,4.32,1.2,2012-11-13,2012.0,11.0,13.86
Call of Duty: Black Ops II,PS3,Shooter,Activision,Treyarch,8.0,13.8,4.99,0.65,5.88,2.28,2012-11-13,2012.0,11.0,13.799999999999999
Call of Duty: Modern Warfare 2,X360,Shooter,Activision,Infinity Ward,9.5,13.53,8.54,0.08,3.63,1.28,2009-11-10,2009.0,11.0,13.53
Call of Duty: WWII,PS4,Shooter,Activision,Sledgehammer Games,8.1,13.4,4.67,0.4,6.21,2.12,2017-11-03,2017.0,11.0,13.400000000000002
Call of Duty: Modern Warfare 3,PS3,Shooter,Activision,Infinity Ward,8.8,13.35,5.54,0.49,5.78,1.54,2011-11-08,2011.0,11.0,13.350000000000001
Grand Theft Auto III,PS2,Action,Rockstar Games,DMA Design,9.5,13.1,6.99,0.3,4.51,1.3,2001-10-23,2001.0,10.0,13.100000000000001
Call of Duty: Black Ops,PS3,Shooter,Activision,Treyarch,8.7,12.67,6.01,0.48,4.4,1.78,2010-11-09,2010.0,11.0,12.67
FIFA 18,PS4,Sports,EA Sports,EA Vancouver,8.3,11.8,1.27,0.15,8.64,1.73,2017-09-29,2017.0,9.0,11.790000000000001
Grand Theft Auto IV,X360,Action,Rockstar Games,Rockstar North,10.0,11.09,6.8,0.14,3.11,1.04,2008-04-29,2008.0,4.0,11.09
FIFA 17,PS4,Sports,Electronic Arts,EA Canada,8.9,10.94,1.26,0.12,7.95,1.61,2016-09-27,2016.0,9.0,10.94
Call of Duty: Modern Warfare 2,PS3,Shooter,Activision,Infinity Ward,9.5,10.61,4.99,0.38,3.66,1.59,2009-11-10,2009.0,11.0,10.620000000000001
Grand Theft Auto IV,PS3,Action,Rockstar Games,Rockstar North,10.0,10.57,4.79,0.44,3.73,1.62,2008-04-29,2008.0,4.0,10.580000000000002
Call of Duty: Ghosts,X360,Shooter,Activision,Infinity Ward,6.9,10.41,6.76,0.04,2.64,0.98,2013-11-05,2013.0,11.0,10.42
Call of Duty: Ghosts,PS3,Shooter,Activision,Infinity Ward,7.5,10.13,4.11,0.39,4.01,1.62,2013-11-05,2013.0,11.0,10.129999999999999
Halo: Reach,X360,Shooter,Microsoft Game Studios,Bungie,9.3,9.97,7.08,0.08,2.01,0.8,2010-09-14,2010.0,9.0,9.97
Halo 4,X360,Shooter,Microsoft Studios,343 Industries,7.5,9.96,6.72,0.04,2.36,0.83,2012-11-06,2012.0,11.0,9.95
Call of Duty 4: Modern Warfare,X360,Shooter,Activision,Infinity Ward,9.6,9.41,5.98,0.13,2.39,0.91,2007-11-05,2007.0,11.0,9.41
Call of Duty: Black Ops IIII,PS4,Shooter,Activision,Treyarch,7.5,9.32,4.05,0.5,3.28,1.49,2018-10-12,2018.0,10.0,9.32
FIFA 19,PS4,Sports,Electronic Arts,EA Sports,7.8,9.15,0.84,0.1,6.87,1.34,2018-09-28,2018.0,9.0,9.15
The Elder Scrolls V: Skyrim,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.3,8.88,5.1,0.1,2.83,0.85,2011-11-11,2011.0,11.0,8.879999999999999
Grand Theft Auto V,XOne,Action,Rockstar Games,Rockstar North,9.0,8.72,4.7,0.01,3.25,0.76,2014-11-18,2014.0,11.0,8.72
Call of Duty: Infinite Warfare,PS4,Shooter,Activision,Infinity Ward,7.9,8.48,3.11,0.19,3.83,1.36,2016-11-04,2016.0,11.0,8.49
Fallout 4,PS4,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.6,8.48,2.91,0.27,3.97,1.34,2015-11-10,2015.0,11.0,8.49
FIFA 16,PS4,Sports,EA Sports,EA Canada,8.5,8.22,1.15,0.07,5.77,1.23,2015-09-22,2015.0,9.0,8.219999999999999
Star Wars Battlefront (2015),PS4,Shooter,Electronic Arts,EA DICE,7.1,8.03,3.31,0.23,3.19,1.3,2015-11-17,2015.0,11.0,8.030000000000001
FIFA 13,PS3,Sports,EA Sports,EA Canada,7.8,8.01,1.07,0.13,5.13,1.68,2012-09-25,2012.0,9.0,8.01
The Sims 3,PC,Simulation,Electronic Arts,EA Redwood Shores,8.5,7.96,1.01,0.0,6.46,0.5,2009-06-02,2009.0,6.0,7.97
Grand Theft Auto: Liberty City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,8.8,7.72,2.9,0.24,2.83,1.74,2005-10-25,2005.0,10.0,7.71
Call of Duty: Advanced Warfare,PS4,Shooter,Activision,Sledgehammer Games,8.5,7.53,2.84,0.14,3.34,1.22,2014-11-04,2014.0,11.0,7.54
Call of Duty: World at War,X360,Shooter,Activision,Treyarch,8.5,7.5,4.88,0.0,1.91,0.71,2008-11-10,2008.0,11.0,7.5
Call of Duty: Black Ops 3,XOne,Shooter,Activision,Treyarch,7.5,7.37,4.63,0.02,2.04,0.68,2015-11-06,2015.0,11.0,7.369999999999999
Battlefield 3,X360,Shooter,Electronic Arts,Dice,8.5,7.35,4.47,0.06,2.12,0.69,2011-10-25,2011.0,10.0,7.34
Battlefield 1,PS4,Shooter,Electronic Arts,EA DICE,9.1,7.26,2.2,0.29,3.65,1.12,2016-10-21,2016.0,10.0,7.260000000000001
Battlefield 3,PS3,Shooter,Electronic Arts,Dice,8.5,7.21,2.86,0.35,2.94,1.07,2011-10-25,2011.0,10.0,7.220000000000001
Need for Speed Underground,PS2,Racing,Electronic Arts,EA Black Box,8.6,7.2,3.27,0.08,2.83,1.02,2003-11-17,2003.0,11.0,7.199999999999999
Need for Speed Underground 2,PS2,Racing,Electronic Arts,EA Black Box,8.3,6.9,2.71,0.08,3.02,1.09,2004-11-15,2004.0,11.0,6.9
Just Dance 4,Wii,Music,Ubisoft,Ubisoft,7.699999999999999,6.89,4.05,0.0,2.21,0.62,2012-10-09,2012.0,10.0,6.88
Medal of Honor: Frontline,PS2,Shooter,Electronic Arts,EA Los Angeles,9.0,6.83,2.93,0.17,2.75,0.99,2002-05-28,2002.0,5.0,6.84
Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,Naughty Dog,9.5,6.74,3.28,0.21,2.22,1.02,2009-10-13,2009.0,10.0,6.73
Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,Infinity Ward,9.5,6.72,3.13,0.28,2.27,1.04,2007-11-05,2007.0,11.0,6.72
FIFA Soccer 12,PS3,Sports,EA Sports,EA Canada,9.2,6.65,0.84,0.11,4.33,1.37,2011-09-27,2011.0,9.0,6.65
FIFA 14,PS3,Sports,EA Sports,EA Canada,7.8,6.61,0.79,0.07,4.77,0.98,2013-09-24,2013.0,9.0,6.609999999999999
Red Dead Redemption,PS3,Action,Rockstar Games,Rockstar San Diego,9.5,6.57,2.82,0.17,2.58,1.0,2011-10-11,2011.0,10.0,6.57
Red Dead Redemption,X360,Action,Rockstar Games,Rockstar San Diego,9.5,6.5,3.77,0.09,2.03,0.6,2010-05-18,2010.0,5.0,6.489999999999999
Assassin's Creed III,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.8,6.5,2.65,0.16,2.61,1.08,2012-10-30,2012.0,10.0,6.5
The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,6.49,2.57,0.25,2.68,0.99,2011-11-11,2011.0,11.0,6.49
Minecraft,PS4,Misc,Sony Computer Entertainment,Mojang,9.4,6.33,1.89,0.35,3.13,0.96,2014-10-07,2014.0,10.0,6.329999999999999
FIFA 15,PS4,Sports,EA Sports,EA Canada,8.1,6.32,0.83,0.05,4.49,0.94,2014-09-23,2014.0,9.0,6.3100000000000005
Driver,PS,Action,GT Interactive,Reflections Interactive,8.5,6.27,3.11,0.02,2.8,0.33,1999-06-30,1999.0,6.0,6.26
Call of Duty: WWII,XOne,Shooter,Activision,Sledgehammer Games,7.5,6.23,3.75,0.0,1.91,0.57,2017-11-03,2017.0,11.0,6.23
Minecraft,PS3,Misc,Sony Computer Entertainment America,Mojang,7.1,6.05,2.21,0.0,2.86,0.99,2014-05-16,2014.0,5.0,6.0600000000000005
Red Dead Redemption 2,XOne,Action-Adventure,Rockstar Games,Rockstar Games,7.65,5.77,3.76,0.0,1.47,0.54,2018-10-26,2018.0,10.0,5.77
Destiny,PS4,Shooter,Activision,Bungie,7.5,5.76,2.53,0.16,2.13,0.94,2014-09-09,2014.0,9.0,5.76
Tekken 2,PS,Fighting,Namco,Namco,9.1,5.74,2.26,1.36,1.89,0.23,1996-08-25,1996.0,8.0,5.74
LEGO Star Wars: The Complete Saga,Wii,Action,LucasArts,Traveller's Tales,8.0,5.66,3.57,0.0,1.57,0.52,2007-11-06,2007.0,11.0,5.66
Cooking Mama,DS,Simulation,Majesco,Office Create,6.6,5.66,3.09,0.07,1.92,0.58,2006-09-12,2006.0,9.0,5.66
Assassin's Creed II,PS3,Action,Ubisoft,Ubisoft Montreal,9.0,5.57,2.54,0.21,1.95,0.86,2009-11-17,2009.0,11.0,5.5600000000000005
Assassin's Creed,X360,Action,Ubisoft,Ubisoft Montreal,8.2,5.55,3.28,0.07,1.64,0.56,2007-11-13,2007.0,11.0,5.549999999999999
Batman: Arkham City,PS3,Action,Warner Bros. Interactive,Rocksteady Studios,9.6,5.54,2.72,0.11,1.89,0.82,2011-10-18,2011.0,10.0,5.54
Forza Motorsport 3,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.2,5.5,2.99,0.1,1.9,0.51,2009-10-27,2009.0,10.0,5.5
Call of Duty: World at War,PS3,Shooter,Activision,Treyarch,8.4,5.43,2.75,0.0,1.84,0.84,2008-11-10,2008.0,11.0,5.43
Minecraft,XOne,Misc,Microsoft Studios,Mojang,7.1,5.43,3.23,0.0,1.71,0.49,2014-11-18,2014.0,11.0,5.43
Crash Bandicoot: The Wrath of Cortex,PS2,Platform,Universal Interactive,Traveller's Tales,6.9,5.42,2.07,0.24,2.29,0.82,2001-10-29,2001.0,10.0,5.42
Final Fantasy XIII,PS3,Role-Playing,Square Enix,Square Enix,8.0,5.35,1.75,1.87,1.23,0.51,2010-03-09,2010.0,3.0,5.359999999999999
Assassin's Creed III,X360,Action-Adventure,Ubisoft,Ubisoft Montreal,7.65,5.31,3.13,0.03,1.71,0.45,2012-10-30,2012.0,10.0,5.319999999999999
Assassin's Creed II,X360,Action,Ubisoft,Ubisoft Montreal,9.1,5.3,3.14,0.08,1.55,0.52,2009-11-17,2009.0,11.0,5.290000000000001
Tomb Raider II,PS,Adventure,Eidos Interactive,Core Design Ltd.,7.6,5.24,2.3,0.2,2.46,0.28,1997-10-31,1997.0,10.0,5.24
Madden NFL 2004,PS2,Sports,EA Sports,EA Tiburon,9.5,5.23,4.26,0.01,0.26,0.71,2003-08-12,2003.0,8.0,5.239999999999999
Call of Duty: Advanced Warfare,XOne,Shooter,Activision,Sledgehammer Games,8.3,5.22,3.25,0.01,1.49,0.48,2014-11-04,2014.0,11.0,5.23
Medal of Honor: Rising Sun,PS2,Shooter,Electronic Arts,EA Los Angeles,5.9,5.13,1.98,0.13,2.23,0.8,2003-11-11,2003.0,11.0,5.14
Battlefield 1,XOne,Shooter,Electronic Arts,EA DICE,9.3,5.13,3.37,0.02,1.26,0.48,2016-10-21,2016.0,10.0,5.130000000000001
Microsoft Flight Simulator,PC,Simulation,Microsoft,Microsoft,7.0,5.12,3.22,0.0,1.69,0.2,1996-10-31,1996.0,10.0,5.11
Guitar Hero II,PS2,Misc,RedOctane,Harmonix Music Systems,9.2,5.12,3.81,0.0,0.63,0.68,2006-11-07,2006.0,11.0,5.12
FIFA 13,X360,Sports,EA Sports,EA Canada,7.8,5.11,1.1,0.03,3.49,0.5,2012-09-25,2012.0,9.0,5.12
Mario & Sonic at the Olympic Games,DS,Sports,Sega,Sega,7.0,5.1,1.63,0.44,2.46,0.57,2008-01-22,2008.0,1.0,5.1
Fable III,X360,Role-Playing,Microsoft Game Studios,Lionhead Studios,7.8,5.1,3.59,0.05,1.09,0.37,2010-10-26,2010.0,10.0,5.1
Resident Evil 5,PS3,Action,Capcom,Capcom,8.6,5.1,1.96,1.08,1.42,0.64,2009-03-13,2009.0,3.0,5.1
FIFA Soccer 11,PS3,Sports,EA Sports,EA Canada,8.7,5.08,0.61,0.06,3.28,1.12,2010-09-28,2010.0,9.0,5.07
Grand Theft Auto: Vice City Stories,PSP,Action,Rockstar Games,Rockstar Leeds,8.4,5.08,1.7,0.16,2.03,1.19,2006-10-31,2006.0,10.0,5.08
Final Fantasy XV,PS4,Role-Playing,Square Enix,Square Enix,8.1,5.07,1.81,1.05,1.53,0.68,2016-11-29,2016.0,11.0,5.07
Fallout 4,XOne,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.4,5.03,2.94,0.02,1.62,0.45,2015-11-10,2015.0,11.0,5.03
Tony Hawk's Pro Skater,PS,Sports,Activision,Neversoft Entertainment,9.6,5.02,3.42,0.02,1.38,0.2,1999-08-31,1999.0,8.0,5.0200000000000005
Warzone 2100,PS,Strategy,Eidos Interactive,Pumpkin Studios,7.7,5.01,2.79,0.0,1.89,0.33,1999-05-31,1999.0,5.0,5.01
Guitar Hero III: Legends of Rock,PS2,Misc,RedOctane,BudCat Creations,8.2,4.98,3.49,0.01,0.01,1.48,2007-10-28,2007.0,10.0,4.99
Uncharted: Drake's Fortune,PS3,Action,Sony Computer Entertainment,Naughty Dog,8.7,4.97,2.32,0.12,1.73,0.8,2007-11-16,2007.0,11.0,4.97
Fallout 3,X360,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.0,4.96,3.41,0.09,0.99,0.46,2008-10-28,2008.0,10.0,4.95
Madden NFL 06,PS2,Sports,EA Sports,EA Tiburon,9.1,4.91,3.98,0.01,0.26,0.66,2005-08-08,2005.0,8.0,4.91
Call of Duty: Black Ops IIII,XOne,Shooter,Activision,Treyarch,7.5,4.85,3.27,0.0,1.12,0.46,2018-10-12,2018.0,10.0,4.8500000000000005
Assassin's Creed,PS3,Action,Ubisoft,Ubisoft Montreal,8.2,4.83,1.91,0.09,2.01,0.82,2007-11-13,2007.0,11.0,4.83
Crash Bandicoot N. Sane Trilogy,PS4,Platform,Activision,Vicarious Visions,7.0,4.83,1.09,0.07,2.92,0.74,2017-06-30,2017.0,6.0,4.82
Call of Duty: Infinite Warfare,XOne,Shooter,Activision,Infinity Ward,7.5,4.79,2.91,0.0,1.44,0.44,2016-11-04,2016.0,11.0,4.79
Crash Team Racing,PS,Racing,Sony Computer Entertainment,Naughty Dog,9.2,4.79,2.57,0.44,1.57,0.21,1999-09-30,1999.0,9.0,4.79
LEGO Star Wars: The Complete Saga,DS,Action,LucasArts,Traveller's Tales,7.8,4.77,2.83,0.0,1.49,0.45,2007-11-06,2007.0,11.0,4.7700000000000005
Batman: Arkham City,X360,Action,Warner Bros. Interactive,Rocksteady Studios,9.5,4.75,2.99,0.04,1.28,0.44,2011-10-18,2011.0,10.0,4.750000000000001
Driver 2,PS,Action,Atari,Reflections Interactive,7.0,4.73,2.36,0.02,2.1,0.25,2000-11-13,2000.0,11.0,4.73
The Simpsons: Hit & Run,PS2,Racing,VU Games,Radical Entertainment,7.7,4.7,1.73,0.0,2.19,0.79,2003-09-16,2003.0,9.0,4.71
Tony Hawk's Pro Skater 2,PS,Sports,Activision,Neversoft Entertainment,9.3,4.68,3.05,0.02,1.41,0.2,2000-09-20,2000.0,9.0,4.68
The Lord of the Rings: The Two Towers,PS2,Action,Electronic Arts,Stormfront Studios,8.3,4.67,1.94,0.08,1.95,0.7,2002-10-21,2002.0,10.0,4.67
Tomb Raider,PS,Action,Eidos Interactive,Core Design Ltd.,8.9,4.63,2.29,0.13,1.97,0.24,1996-11-14,1996.0,11.0,4.63
Forza Motorsport 4,X360,Racing,Microsoft Studios,Turn 10 Studio,9.1,4.6,2.08,0.06,1.98,0.49,2011-10-11,2011.0,10.0,4.61
Guitar Hero III: Legends of Rock,Wii,Misc,RedOctane,Vicarious Visions,8.6,4.6,3.04,0.0,1.12,0.44,2007-10-28,2007.0,10.0,4.6000000000000005
FIFA 15,PS3,Sports,EA Sports,EA Canada,6.9,4.56,0.59,0.04,3.25,0.68,2014-09-23,2014.0,9.0,4.56
Mario & Sonic at the Olympic Winter Games,Wii,Sports,Sega,Sega,6.8,4.54,1.87,0.22,1.97,0.48,2009-10-13,2009.0,10.0,4.540000000000001
Overwatch,PS4,Shooter,Blizzard Entertainment,Blizzard Entertainment,8.8,4.54,1.84,0.17,1.8,0.73,2016-05-24,2016.0,5.0,4.540000000000001
Guitar Hero III: Legends of Rock,X360,Misc,RedOctane,Neversoft,8.7,4.53,3.19,0.01,0.91,0.42,2007-10-28,2007.0,10.0,4.529999999999999
Star Wars Battlefront II (2017),PS4,Shooter,Electronic Arts,EA DICE,7.5,4.53,1.7,0.12,1.99,0.73,2017-11-17,2017.0,11.0,4.539999999999999
Madden NFL 2005,PS2,Sports,EA Sports,EA Tiburon,9.5,4.53,4.18,0.01,0.26,0.08,2004-08-09,2004.0,8.0,4.529999999999999
Spider-Man: The Movie,PS2,Action,Activision,Treyarch,8.2,4.48,2.71,0.03,1.51,0.23,2002-04-15,2002.0,4.0,4.48
The Elder Scrolls IV: Oblivion,X360,Role-Playing,Take-Two Interactive,Bethesda Softworks,9.2,4.47,2.89,0.13,1.03,0.41,2009-07-07,2009.0,7.0,4.46
Tony Hawk's Pro Skater 3,PS2,Sports,Activision,Neversoft Entertainment,9.1,4.41,2.66,0.01,1.29,0.46,2001-10-28,2001.0,10.0,4.42
Winning Eleven: Pro Evolution Soccer 2007,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,8.8,4.39,0.1,1.05,2.39,0.86,2007-02-06,2007.0,2.0,4.4
Tom Clancy's The Division,PS4,Shooter,Ubisoft,Massive Entertainment,7.5,4.37,1.49,0.16,2.04,0.69,2016-03-08,2016.0,3.0,4.38
Need for Speed: Most Wanted,PS2,Racing,Electronic Arts,EA Canada,8.6,4.37,2.03,0.08,1.79,0.47,2005-11-15,2005.0,11.0,4.37
Michael Jackson: The Experience,Wii,Misc,Ubisoft,Ubisoft Montpellier,5.6,4.37,2.64,0.01,1.33,0.39,2010-11-23,2010.0,11.0,4.37
Tom Clancy's Rainbow Six: Siege,PS4,Shooter,Ubisoft,Ubisoft Montreal,7.5,4.36,1.29,0.36,2.06,0.64,2015-12-01,2015.0,12.0,4.35
Call of Duty: Advanced Warfare,X360,Shooter,Activision,High Moon Studios,9.1,4.34,2.81,0.0,1.13,0.41,2014-11-04,2014.0,11.0,4.35
Watch Dogs,PS4,Action-Adventure,Ubisoft,Ubisoft Montreal,7.65,4.32,1.4,0.11,2.13,0.68,2014-05-27,2014.0,5.0,4.319999999999999
Asteroids,2600,Shooter,Atari,Atari,7.5,4.31,4.0,0.0,0.26,0.05,1981-01-01,1981.0,1.0,4.31
Batman: Arkham Asylum,PS3,Action,Eidos Interactive,Rocksteady Studios,9.0,4.28,2.26,0.07,1.33,0.63,2009-08-25,2009.0,8.0,4.29
Call of Duty: Advanced Warfare,PS3,Shooter,Activision,High Moon Studios,9.1,4.27,1.59,0.2,1.81,0.67,2014-11-04,2014.0,11.0,4.2700000000000005
Namco Museum,GBA,Misc,Namco,Mass Media,7.1,4.24,3.0,0.05,1.11,0.07,2001-06-10,2001.0,6.0,4.23
Assassin's Creed: Revelations,PS3,Action,Ubisoft,Ubisoft Montreal,8.8,4.23,1.41,0.1,2.03,0.69,2011-11-15,2011.0,11.0,4.23
Assassin's Creed: Revelations,X360,Action,Ubisoft,Ubisoft Montreal,7.9,4.22,2.28,0.04,1.47,0.44,2011-11-15,2011.0,11.0,4.23
FIFA Soccer 06,PS2,Sports,EA Sports,EA Canada,8.4,4.21,0.78,0.04,2.55,0.84,2005-10-04,2005.0,10.0,4.21
Street Fighter IV,PS3,Fighting,Capcom,Capcom / Dimps Corporation,9.3,4.19,2.04,0.59,1.05,0.52,2009-02-17,2009.0,2.0,4.199999999999999
FIFA Soccer 12,X360,Sports,EA Sports,EA Canada,9.2,4.18,0.85,0.02,2.79,0.52,2011-09-27,2011.0,9.0,4.18
Call of Duty: Ghosts,PS4,Shooter,Activision,Infinity Ward,7.5,4.17,1.79,0.05,1.64,0.69,2013-11-15,2013.0,11.0,4.17
Teenage Mutant Ninja Turtles,NES,Platform,Ultra Games,Konami,5.9,4.17,3.38,0.31,0.44,0.04,1989-06-01,1989.0,6.0,4.17
Frogger,PS,Action,Hasbro Interactive,Millenium Interactive,6.8,4.16,3.79,0.0,0.27,0.11,1997-09-30,1997.0,9.0,4.170000000000001
FIFA 14,X360,Sports,EA Sports,EA Canada,7.8,4.15,0.94,0.01,2.92,0.29,2013-09-24,2013.0,9.0,4.16
Star Wars Battlefront (2015),XOne,Shooter,Electronic Arts,EA DICE,6.9,4.15,2.49,0.02,1.26,0.38,2015-11-17,2015.0,11.0,4.15
Madden NFL 2003,PS2,Sports,EA Sports,EA Tiburon,9.4,4.14,3.36,0.01,0.21,0.56,2002-08-12,2002.0,8.0,4.14
Assassin's Creed: Unity,PS4,Action,Ubisoft,Ubisoft Montreal,6.8,4.14,1.25,0.09,2.16,0.65,2014-11-11,2014.0,11.0,4.15
Destiny 2,PS4,Shooter,Activision,Bungie,7.5,4.14,1.92,0.1,1.44,0.69,2017-09-06,2017.0,9.0,4.15
FIFA 07 Soccer,PS2,Sports,EA Sports,Team Fusion,8.4,4.11,0.71,0.03,2.48,0.89,2006-10-03,2006.0,10.0,4.109999999999999
Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive,Rocksteady Studios,8.1,4.11,1.65,0.11,1.68,0.66,2015-06-23,2015.0,6.0,4.1
The Sims 4,PC,Simulation,Electronic Arts,Maxis,7.0,4.1,1.2,0.0,2.6,0.3,2014-09-02,2014.0,9.0,4.1
Fallout: New Vegas,X360,Role-Playing,Bethesda Softworks,Obsidian Entertainment,8.2,4.08,2.67,0.04,1.03,0.34,2010-10-19,2010.0,10.0,4.08
Carnival Games,Wii,Misc,Global Star Software,Cat Daddy Games,4.2,4.06,2.12,0.05,1.47,0.42,2007-08-28,2007.0,8.0,4.06
Far Cry 4,PS4,Shooter,Ubisoft,Ubisoft Montreal,8.4,4.06,1.18,0.11,2.14,0.63,2014-11-18,2014.0,11.0,4.0600000000000005
Assassin's Creed Origins,PS4,Action,Ubisoft,Ubisoft Montreal,6.8,4.06,1.22,0.11,2.11,0.63,2017-10-27,2017.0,10.0,4.07
World Soccer Winning Eleven 9,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,8.9,4.06,0.12,0.9,2.26,0.77,2006-02-07,2006.0,2.0,4.05
Forza Motorsport 2,X360,Racing,Microsoft Game Studios,Turn 10 Studios,9.1,4.05,2.35,0.03,1.27,0.41,2007-05-29,2007.0,5.0,4.06
Namco Museum Vol.3,PS,Misc,Namco,Namco,7.1,4.05,2.28,0.16,1.55,0.06,1997-01-31,1997.0,1.0,4.05
Tekken Tag Tournament,PS2,Fighting,Namco,Namco,8.7,4.05,1.68,0.51,1.51,0.35,2000-10-25,2000.0,10.0,4.05
Fallout 3,PS3,Role-Playing,Bethesda Softworks,Bethesda Game Studios,8.8,4.0,2.18,0.07,1.15,0.61,2008-10-28,2008.0,10.0,4.01
The Elder Scrolls V: Skyrim,PC,Role-Playing,Bethesda Softworks,Bethesda Game Studios,9.2,3.99,1.18,0.0,2.25,0.56,2011-11-11,2011.0,11.0,3.9899999999999998
NBA 2K16,PS4,Sports,2K Sports,Visual Concepts,8.7,3.98,2.56,0.05,0.66,0.71,2015-09-29,2015.0,9.0,3.98
Namco Museum: 50th Anniversary,PS2,Misc,Namco,Digital Eclipse,7.1,3.98,2.08,0.0,1.35,0.54,2005-08-30,2005.0,8.0,3.97
Far Cry 5,PS4,Action,Ubisoft,Ubisoft,7.9,3.95,1.44,0.15,1.73,0.62,2018-03-27,2018.0,3.0,3.94
Battlefield 4,PS4,Shooter,Electronic Arts,EA DICE,8.3,3.94,1.4,0.19,1.74,0.62,2013-11-15,2013.0,11.0,3.95
Assassin's Creed IV: Black Flag,PS3,Action-Adventure,Ubisoft,Ubisoft Montreal,8.7,3.94,1.34,0.13,1.86,0.62,2013-10-29,2013.0,10.0,3.95
Tony Hawk's Underground,PS2,Sports,Activision,Neversoft Entertainment,8.7,3.9,2.29,0.01,1.17,0.42,2003-10-27,2003.0,10.0,3.8899999999999997
Just Dance 2014,Wii,Music,Ubisoft,Ubisoft Paris,7.4,3.89,1.91,0.0,1.66,0.33,2013-10-08,2013.0,10.0,3.9
Sports Champions,PS3,Sports,Sony Computer Entertainment,SCE San Diego Studio,7.6,3.88,2.15,0.1,1.13,0.5,2010-09-17,2010.0,9.0,3.88
World Soccer Winning Eleven 8 International,PS2,Sports,Konami,Konami Computer Entertainment Tokyo,9.3,3.85,0.16,1.12,1.89,0.68,2005-02-01,2005.0,2.0,3.85
Namco Museum Vol.1,PS,Misc,Namco,Namco,7.1,3.84,2.12,0.22,1.44,0.06,1996-07-31,1996.0,7.0,3.8400000000000003
LEGO Indiana Jones: The Original Adventures,X360,Adventure,LucasArts,Traveller's Tales,7.5,3.76,2.4,0.0,1.01,0.36,2008-06-03,2008.0,6.0,3.77
The Sims: Unleashed,PC,Simulation,Electronic Arts,Maxis,7.3,3.76,2.03,0.0,1.56,0.17,2002-09-23,2002.0,9.0,3.76
Ratchet & Clank: Size Matters,PSP,Platform,Sony Computer Entertainment,High Impact Games,8.5,3.75,1.4,0.1,1.4,0.86,2007-02-13,2007.0,2.0,3.76
FIFA 17,XOne,Sports,Electronic Arts,EA Canada,8.8,3.71,1.04,0.0,2.4,0.27,2016-09-27,2016.0,9.0,3.71
FIFA Soccer 2005,PS2,Sports,EA Sports,EA Canada,8.4,3.7,0.58,0.04,2.48,0.59,2004-10-12,2004.0,10.0,3.69
Tony Hawk's Pro Skater 4,PS2,Sports,Activision,Neversoft Entertainment,9.6,3.67,2.13,0.01,1.18,0.35,2002-10-23,2002.0,10.0,3.6699999999999995
MySims,DS,Simulation,Electronic Arts,EA Redwood Shores,6.7,3.66,1.58,0.08,1.6,0.4,2007-09-18,2007.0,9.0,3.66
Midnight Club 3: DUB Edition,PSP,Racing,Rockstar Games,Rockstar Leeds,7.2,3.66,1.65,0.0,1.22,0.79,2005-06-27,2005.0,6.0,3.66
